user_id,session_id,timestamp,app_id,duration_seconds
U001,S001,2026-04-15 05:33:58,camera,542
U001,S001,2026-04-15 05:43:00,instagram,28
U001,S001,2026-04-15 05:43:28,whatsapp,212
U001,S001,2026-04-15 05:47:00,youtube,231
U001,S001,2026-04-15 05:50:51,chrome,512
U001,S001,2026-04-15 05:59:23,youtube,420
U001,S001,2026-04-15 06:06:23,whatsapp,548
U001,S001,2026-04-15 06:15:31,instagram,275
U001,S001,2026-04-15 06:20:06,youtube,493
U001,S001,2026-04-15 06:28:19,instagram,499
U001,S001,2026-04-15 06:36:38,camera,26
U001,S001,2026-04-15 06:37:04,instagram,499
U001,S002,2026-04-15 11:45:23,whatsapp,376
U001,S002,2026-04-15 11:51:39,youtube,165
U001,S002,2026-04-15 11:54:24,chrome,376
U001,S002,2026-04-15 12:00:40,youtube,274
U001,S002,2026-04-15 12:05:14,whatsapp,128
U001,S002,2026-04-15 12:07:22,youtube,552
U001,S002,2026-04-15 12:16:34,whatsapp,51
U001,S002,2026-04-15 12:17:25,chrome,277
U001,S002,2026-04-15 12:22:02,whatsapp,308
U001,S003,2026-04-15 16:27:10,whatsapp,63
U001,S003,2026-04-15 16:28:13,instagram,90
U001,S003,2026-04-15 16:29:43,youtube,80
U001,S003,2026-04-15 16:31:03,chrome,374
U001,S003,2026-04-15 16:37:17,youtube,539
U001,S003,2026-04-15 16:46:16,whatsapp,98
U001,S003,2026-04-15 16:47:54,youtube,532
U001,S003,2026-04-15 16:56:46,whatsapp,339
U001,S003,2026-04-15 17:02:25,youtube,377
U001,S003,2026-04-15 17:08:42,instagram,490
U001,S003,2026-04-15 17:16:52,whatsapp,294
U001,S003,2026-04-15 17:21:46,instagram,380
U001,S003,2026-04-15 17:28:06,youtube,303
U001,S003,2026-04-15 17:33:09,instagram,270
U001,S004,2026-04-15 20:37:39,spotify,507
U001,S004,2026-04-15 20:46:06,instagram,426
U001,S004,2026-04-15 20:53:12,whatsapp,463
U001,S004,2026-04-15 21:00:55,youtube,298
U001,S004,2026-04-15 21:05:53,chrome,406
U001,S004,2026-04-15 21:12:39,whatsapp,507
U001,S004,2026-04-15 21:21:06,youtube,478
U001,S005,2026-04-16 01:29:04,camera,465
U001,S005,2026-04-16 01:36:49,chrome,192
U001,S005,2026-04-16 01:40:01,gmail,260
